 ------------------------------------
 | Token                | Pos in ST |
 ------------------------------------
 | int                  |        -1 |
 | ,                    |        -1 |
 | id                   |         0 |
 | ,                    |        -1 |
 | id                   |         1 |
 | ,                    |        -1 |
 | id                   |         2 |
 | ;                    |        -1 |
 | read                 |        -1 |
 | (                    |        -1 |
 | id                   |         3 |
 | )                    |        -1 |
 | ;                    |        -1 |
 | read                 |        -1 |
 | (                    |        -1 |
 | id                   |         0 |
 | )                    |        -1 |
 | ;                    |        -1 |
 | read                 |        -1 |
 | (                    |        -1 |
 | id                   |         1 |
 | )                    |        -1 |
 | ;                    |        -1 |
 | if                   |        -1 |
 | (                    |        -1 |
 | id                   |         3 |
 | >                    |        -1 |
 | id                   |         0 |
 | &&                   |        -1 |
 | id                   |         3 |
 | >                    |        -1 |
 | id                   |         1 |
 | )                    |        -1 |
 | {                    |        -1 |
 | id                   |         2 |
 | =                    |        -1 |
 | id                   |         3 |
 | :                    |        -1 |
 | }                    |        -1 |
 | else                 |        -1 |
 | {                    |        -1 |
 | if                   |        -1 |
 | (                    |        -1 |
 | id                   |         0 |
 | >                    |        -1 |
 | id                   |         1 |
 | )                    |        -1 |
 | {                    |        -1 |
 | id                   |         2 |
 | =                    |        -1 |
 | id                   |         0 |
 | ;                    |        -1 |
 | }                    |        -1 |
 | else                 |        -1 |
 | {                    |        -1 |
 | id                   |         2 |
 | =                    |        -1 |
 | id                   |         1 |
 | ;                    |        -1 |
 | }                    |        -1 |
 | }                    |        -1 |
 ------------------------------------
